Group ,Subgroup,Language,State,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Maine,50,42,(D),(D)
ALL OTHER LANGUAGES,.African languages,..Mbum (and related),Maine,160,163,130,153
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Maine,140,75,(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Maine,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Maine,(D),(D),(D),(D)
ALL OTHER LANGUAGES,.Other and unspecified languages,..Basque,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Maine,(D),(D),(B),--
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Maine,30,21,(B),--
Total,Total,Total Speakers,Maryland,"5,467,945",286,"347,459","4,946"
English,English,English,Maryland,"4,553,640","6,793",(X),(X)
SPANISH AND SPANISH CREOLE,..Spanish,..Spanish,Maryland,"378,010","4,101","173,970","3,465"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Maryland,"50,635","2,512","12,405","1,040"
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Maryland,"2,310",524,160,88
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Maryland,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Maryland,"11,932","1,378","3,556",681
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Maryland,"10,135",725,"2,325",307
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Maryland,"10,960","1,073","3,785",552
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,Maryland,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Maryland,"18,285","1,113","2,725",462
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Maryland,"1,003",314,134,63
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Maryland,"1,195",450,265,213
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Maryland,"2,040",334,110,66
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Maryland,435,190,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Frisian,Maryland,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Maryland,"1,010",276,40,36
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Maryland,700,269,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Maryland,440,161,25,25
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Maryland,110,92,(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Maryland,"9,848","1,131","2,410",535
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Russian,Maryland,"21,388","1,483","8,535",843
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Polish,Maryland,"4,356",698,"1,148",275
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Maryland,925,291,265,147
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Maryland,295,127,100,69
