Group,Subgroup,Language,State,State_ID,Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error.1
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Ohio,OH,615,250,415,180
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Ohio,OH,430,295,390,263
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Ohio,OH,10897,946,2958,372
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Ohio,OH,715,302,235,106
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Balinese,Ohio,OH,70,113,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malagasy,Ohio,OH,45,41,45,41
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Ohio,OH,315,131,205,106
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Ohio,OH,270,146,140,108
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Ohio,OH,360,198,160,101
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Ohio,OH,40,46,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Ohio,OH,120,69,60,58
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Ohio,OH,145,98,85,60
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ponapean,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Yapese,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Ohio,OH,55,52,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Polynesian,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Ohio,OH,115,84,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Ohio,OH,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Ohio,OH,90,75,,
ALL OTHER LANGUAGES,Navajo,Navajo,Ohio,OH,59,79,,
ALL OTHER LANGUAGES,Other Native North American languages,Aleut,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Yupik,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Ohio,OH,25,30,,
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Ohio,OH,25,27,,
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,Ohio,OH,90,75,35,40
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Ohio,OH,30,32,,
ALL OTHER LANGUAGES,Other Native North American languages,Nez Perce,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pomo,Ohio,OH,105,155,,
ALL OTHER LANGUAGES,Other Native North American languages,Yuma,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Ohio,OH,75,41,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Ohio,OH,125,81,,
ALL OTHER LANGUAGES,Other Native North American languages,Koasati,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Muskogee,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Keres,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Iroquois,Ohio,OH,30,37,,
ALL OTHER LANGUAGES,Other Native North American languages,Mohawk,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Ohio,OH,250,117,25,20
ALL OTHER LANGUAGES,Other Native North American languages,Hopi,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Ohio,OH,80,48,45,45
ALL OTHER LANGUAGES,Hungarian,Hungarian,Ohio,OH,7144,637,1794,250
ALL OTHER LANGUAGES,Arabic,Arabic,Ohio,OH,34277,2528,11134,1143
ALL OTHER LANGUAGES,Hebrew,Hebrew,Ohio,OH,2838,479,351,152
ALL OTHER LANGUAGES,African languages,Amharic,Ohio,OH,4675,802,1735,330
ALL OTHER LANGUAGES,African languages,Berber,Ohio,OH,55,51,,
ALL OTHER LANGUAGES,African languages,Chadic,Ohio,OH,90,87,,
ALL OTHER LANGUAGES,African languages,Cushite,Ohio,OH,13160,1409,5820,801
ALL OTHER LANGUAGES,African languages,Sudanic,Ohio,OH,,,,
ALL OTHER LANGUAGES,African languages,Nilotic,Ohio,OH,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Ohio,OH,2725,678,875,390
ALL OTHER LANGUAGES,African languages,Bantu,Ohio,OH,2255,661,760,387
ALL OTHER LANGUAGES,African languages,Mande,Ohio,OH,1330,486,500,217
ALL OTHER LANGUAGES,African languages,Fulani,Ohio,OH,2595,608,1230,396
ALL OTHER LANGUAGES,African languages,Gur,Ohio,OH,40,43,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Ohio,OH,8640,1027,2060,406
ALL OTHER LANGUAGES,African languages,Efik,Ohio,OH,110,92,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Ohio,OH,,,,
ALL OTHER LANGUAGES,African languages,African,Ohio,OH,185,117,60,47
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Ohio,OH,670,259,90,68
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Ohio,OH,335,187,105,78
ALL OTHER LANGUAGES,Other and unspecified languages,Lapp,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Ohio,OH,240,192,155,144
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Ohio,OH,80,94,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Quechua,Ohio,OH,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Chibchan,Ohio,OH,105,164,95,143
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Ohio,OH,105,59,,
ENGLISH,English,English,Oklahoma,OK,3190076,3056,,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Oklahoma,OK,224325,2399,103860,2025
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Oklahoma,OK,5030,600,775,169
