Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Tennessee,800,264,260,137,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Tennessee,875,343,120,89,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Tennessee,45,52,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Tennessee,1185,466,930,420,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Tennessee,115,95,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Tennessee,255,322,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Tennessee,110,110,30,43,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Tennessee,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Tennessee,180,95,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Tennessee,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Tennessee,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Tennessee,1555,481,570,207,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Tennessee,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Tennessee,145,107,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Tennessee,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Tennessee,335,218,205,164,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Tennessee,90,107,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Tennessee,45,37,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Tennessee,105,99,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Tennessee,3065,596,1135,272,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Tennessee,10770,1298,5360,906,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Tennessee,415,204,160,111,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Tennessee,1675,401,775,264,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Tennessee,275,118,75,45,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Tennessee,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Tennessee,3845,566,1745,405,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Tennessee,8831,1207,4309,622,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Tennessee,1364,504,582,215,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Tennessee,208,99,64,43,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Tennessee,1445,365,635,188,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Tennessee,5544,882,2502,458,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Tennessee,10539,1304,6643,830,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Tennessee,130,187,130,187,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Tennessee,40,72,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Tennessee,640,338,240,168,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Tennessee,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Gondi,Tennessee,25,38,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Tennessee,2560,569,475,188,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Tennessee,555,239,65,50,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Tennessee,1355,391,320,178,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Tennessee,1165,332,270,134,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Tennessee,70,70,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Tennessee,720,361,575,286,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Tennessee,165,209,165,209,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Tennessee,5921,910,1618,408,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Tennessee,170,134,120,122,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Balinese,Tennessee,70,106,70,106,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Tennessee,240,103,110,66,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Tennessee,210,123,85,76,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Tennessee,145,81,50,52,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Tennessee,85,67,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Tennessee,50,52,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Tennessee,90,91,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Tennessee,85,110,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Tennessee,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Tennessee,105,125,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Tennessee,185,116,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Tennessee,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Tennessee,170,127,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Tennessee,32,35,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Blackfoot,Tennessee,35,64,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Miami,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Shawnee,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,Tennessee,40,54,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Walapai,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Tennessee,35,33,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Choctaw,Tennessee,120,75,20,27,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Muskogee,Tennessee,20,28,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Keres,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Mohawk,Tennessee,15,21,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cayuga,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Seneca,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Cherokee,Tennessee,300,105,30,23,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Tennessee,135,90,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Tennessee,512,216,126,97,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Tennessee,16535,2081,7270,1019,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Tennessee,1042,263,121,90,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Tennessee,3610,1011,1995,822,,,,
ALL OTHER LANGUAGES,.African languages,..Chadic,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Tennessee,2105,648,915,350,,,,
ALL OTHER LANGUAGES,.African languages,..Sudanic,Tennessee,140,160,35,52,,,,
ALL OTHER LANGUAGES,.African languages,..Nilotic,Tennessee,590,356,120,128,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Tennessee,30,151,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Tennessee,1015,345,310,162,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Tennessee,1075,445,480,330,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Tennessee,305,167,85,75,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Tennessee,715,360,485,284,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Tennessee,2290,631,345,138,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Tennessee,110,124,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Tennessee,115,76,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Tennessee,125,150,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Tennessee,50,83,40,80,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Aztecan,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Tennessee,120,133,70,73,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Tennessee,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Tennessee,125,67,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Texas,15471149,15635,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Texas,6983380,15508,2926515,13992,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Ladino,Texas,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Texas,60730,2226,12410,916,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,Texas,595,249,135,88,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,Texas,1165,237,185,83,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Texas,6027,802,1611,426,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Texas,11386,1040,2316,405,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Texas,19695,1476,4920,754,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,Texas,65,57,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Texas,69140,2340,11205,758,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Texas,75,84,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Texas,231,104,16,20,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Texas,230,168,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Texas,5395,781,510,153,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Texas,2000,404,100,79,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Texas,2900,442,160,70,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Texas,1535,431,250,168,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Texas,2010,466,345,166,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Texas,120,99,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Texas,6615,751,1294,258,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Texas,20630,1726,6663,724,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Texas,8276,822,2124,386,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Texas,4530,775,1650,347,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Texas,1175,401,340,170,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Texas,2190,598,540,209,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Texas,1940,703,665,235,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Texas,6830,544,1020,189,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Texas,420,192,110,65,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Texas,1840,611,480,216,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,Texas,130,98,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Texas,135,84,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Texas,1439,520,530,249,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Texas,26231,1864,10405,1156,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Texas,59602,2942,12165,1266,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Texas,30317,2452,9748,1159,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Texas,57662,3831,16515,1701,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Texas,5150,951,1450,380,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Texas,16330,1618,5225,769,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Texas,7735,1202,2720,644,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Texas,6290,1012,930,300,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bihari,Texas,55,62,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Rajasthani,Texas,195,280,4,19,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Texas,400,247,65,71,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,Texas,120,98,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Kashmiri,Texas,60,59,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Texas,11735,1260,6490,921,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Texas,850,315,185,135,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Pakistan n.e.c.3,Texas,1630,604,565,352,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,Texas,2560,570,730,325,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Texas,70,51,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Texas,445,166,30,35,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Texas,905,381,95,72,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Hawaiian Pidgin,Texas,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,Texas,230,149,135,138,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Gullah,Texas,25,28,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Texas,165,107,30,34,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Texas,6460,841,2005,394,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,Texas,120,57,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Texas,690,227,40,30,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Texas,65,73,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Texas,2935,927,1385,545,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Texas,350,135,55,44,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Texas,290,128,100,89,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Texas,895,427,315,191,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,Texas,1690,524,850,282,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Balochi,Texas,30,43,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Texas,101890,3355,52130,2285,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,Texas,130,102,125,102,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Texas,10240,1075,4870,636,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Texas,23260,1750,8510,889,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Texas,5310,672,2820,423,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Wu,Texas,40,53,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Texas,15675,1209,6572,634,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Texas,55794,2318,30366,1602,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Texas,10153,1481,5776,943,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Texas,768,290,311,182,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Texas,9871,955,4781,639,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Texas,10999,1282,5741,915,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Texas,193408,5443,113149,3551,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Texas,105,117,50,63,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kirghiz,Texas,85,84,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karachay,Texas,105,124,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,Texas,210,156,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,Texas,195,156,130,115,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Texas,7970,1063,2360,458,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkmen,Texas,75,91,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Texas,90,82,65,74,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tungus,Texas,45,54,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,Texas,15,21,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Gondi,Texas,85,70,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Texas,26260,1847,5220,681,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Texas,3840,723,460,196,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Texas,26130,2080,7180,899,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Texas,16960,1621,3260,677,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Texas,120,107,45,54,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Texas,5510,886,4715,781,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,Texas,2630,767,2100,622,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kachin,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Texas,72248,2934,16791,1176,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Texas,4375,769,1415,364,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Cham,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Javanese,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malagasy,Texas,10,13,10,13,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Texas,1425,416,445,253,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Texas,1395,401,460,183,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Texas,1205,552,450,267,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pangasinan,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Texas,530,170,145,78,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bikol,Texas,20,27,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Texas,200,122,50,48,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,Texas,275,245,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Carolinian,Texas,125,151,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,Texas,1590,451,160,93,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Kusaiean,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Marshallese,Texas,645,168,285,90,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Mokilese,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,Texas,435,229,180,130,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,Texas,305,185,95,77,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Trukese,Texas,340,279,160,143,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Melanesian,Texas,75,73,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,Texas,1455,350,190,103,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,Texas,1655,516,300,157,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Fijian,Texas,105,118,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Maori,Texas,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Texas,480,187,60,72,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Texas,1021,297,156,94,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Aleut,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Inupik,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Yupik,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Fox,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Kickapoo,Texas,405,114,110,61,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..French Cree,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Micmac,Texas,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ojibwa,Texas,70,102,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,Texas,NA,NA,NA,NA,,,,
